harvest,inside_slash,inside_fence,plot,species,basal_area,ground_cov_pct,sub_cov_pct,canopy_cov_pct,tag,ht,issue,year
wedge,yes,no,939,sb,NA,70,0,80,12058,8.5,NA,2019
boot,yes,no,911,rm,NA,25,0,30,12089,7.25,NA,2019
boot,yes,no,912,rm,NA,65,0,5,12093,6.5,NA,2019
boot,yes,no,909,rm,NA,40,0,5,12073,5.75,NA,2019
red_pine,no,no,935,co,NA,20,0,50,14114,5.5,NA,2019
red_pine,no,no,926,rm,NA,40,0,15,14039,4.5,NA,2019
boot,yes,no,911,rm,NA,25,0,30,12088,15.5,NA,2019
wedge,no,no,944,sb,NA,80,0,0,12133,15.25,NA,2019
wedge,no,no,944,sb,NA,80,0,0,12137,14.75,NA,2019
wedge,no,no,942,sb,NA,80,0,0,12119,10,NA,2019
wedge,no,no,942,sb,NA,80,0,0,12115,7.5,NA,2019
wedge,no,no,944,sb,NA,80,0,0,12139,7.25,NA,2019
wedge,no,no,942,sb,NA,80,0,0,12123,7,NA,2019
boot,no,no,915,sb,NA,40,0,0,12103,5.5,NA,2019
boot,no,no,915,sb,NA,40,0,0,12106,5,NA,2019
boot,no,no,916,rm,NA,30,0,20,12110,5,NA,2019
boot,no,no,915,sb,NA,40,0,0,12107,3.75,NA,2019
boot,no,no,915,sb,NA,40,0,0,12104,3,NA,2019
wedge,yes,no,941,sb,NA,80,0,40,12077,20,NA,2019
boot,no,no,902,sb,30,20,0,40,12017,40.25,NA,2019
boot,no,no,901,sb,20,80,0,40,12012,40.25,NA,2019
boot,no,no,901,sb,20,80,0,40,12013,35.5,NA,2019
boot,no,no,902,sb,30,20,0,40,12018,34,NA,2019
boot,yes,no,903,sb,NA,50,0,5,12023,42.75,NA,2019
red_pine,no,no,930,rm,NA,40,0,0,14055,35,NA,2019
boot,yes,no,903,sb,NA,50,0,5,12028,35,NA,2019
wedge,yes,no,941,sb,NA,80,0,40,12075,30.25,NA,2019
boot,no,no,908,sb,NA,60,0,0,12062,30.25,NA,2019
boot,yes,no,905,sb,NA,85,0,5,12044,35,NA,2019
boot,no,no,902,sb,30,20,0,40,12014,28.75,NA,2019
boot,yes,no,905,sb,NA,85,0,5,12038,39,NA,2019
red_pine,no,no,932,rm,NA,95,0,0,14081,25.5,NA,2019
wedge,yes,no,940,sb,NA,NA,NA,NA,12062,37,NA,2019
red_pine,no,no,929,ro,NA,80,0,0,14050,34,NA,2019
boot,yes,no,903,sb,NA,50,0,5,12025,37,NA,2019
boot,no,no,901,sb,20,80,0,40,12011,21,NA,2019
wedge,yes,no,940,sb,NA,NA,NA,NA,12065,33.5,NA,2019
boot,no,no,901,sb,20,80,0,40,12007,27,NA,2019
boot,yes,no,905,sb,NA,85,0,5,12041,34,NA,2019
red_pine,no,no,929,ro,NA,80,0,0,14049,32.5,NA,2019
boot,yes,no,904,sb,NA,70,0,0,12034,30,NA,2019
red_pine,no,no,931,rm,NA,85,0,0,14057,24.25,NA,2019
boot,no,no,902,sb,30,20,0,40,12016,19,NA,2019
boot,no,no,902,sb,30,20,0,40,12015,20.5,NA,2019
boot,yes,no,905,sb,NA,85,0,5,12042,23,NA,2019
boot,no,no,901,sb,20,80,0,40,12001,21.5,NA,2019
boot,no,no,901,sb,20,80,0,40,12009,16.25,NA,2019
wedge,no,no,943,sb,NA,80,0,0,12130,28.5,NA,2019
red_pine,no,no,929,rm,NA,80,0,0,14046,25.25,NA,2019
boot,no,no,908,sb,NA,60,0,0,12063,25,NA,2019
boot,no,no,901,sb,20,80,0,40,12008,26.5,NA,2019
boot,no,no,901,sb,20,80,0,40,12002,23,NA,2019
red_pine,no,no,931,rm,NA,85,0,0,14058,29.75,NA,2019
red_pine,no,no,925,ro,NA,65,0,0,14023,14,NA,2019
red_pine,no,no,928,ro,NA,30,0,20,14046,21,NA,2019
