harvest,inside_slash,inside_fence,plot,species,basal_area,ground_cov_pct,sub_cov_pct,canopy_cov_pct,tag,ht,year
red_pine,no,no,928,ro,NA,30,0,20,14048,7,2018
red_pine,yes,no,919,ro,NA,75,0,0,12136,3,2018
wedge,yes,no,940,sb,NA,NA,NA,NA,12069,5.5,2018
red_pine,no,no,925,rm,NA,65,0,0,12113,12.5,2018
red_pine,yes,no,938,co,NA,10,0,20,14142,7,2018
red_pine,no,no,929,rm,NA,80,0,0,14047,5.5,2018
red_pine,yes,no,937,co,NA,25,0,20,14128,5.5,2018
boot,yes,no,912,rm,NA,65,0,5,12096,7.25,2018
red_pine,yes,no,921,ro,NA,30,0,20,14002,10,2018
red_pine,yes,no,921,rm,NA,30,0,20,14005,7,2018
red_pine,no,no,935,co,NA,20,0,50,14117,5,2018
red_pine,yes,no,936,co,NA,15,0,0,14120,3.25,2018
boot,yes,no,909,rm,NA,40,0,5,12070,9.5,2018
red_pine,no,no,929,rm,NA,80,0,0,14049,5,2018
wedge,yes,no,939,sb,NA,70,0,80,12054,7,2018
red_pine,no,no,933,co,NA,15,0,20,12085,9.5,2018
red_pine,no,no,929,rm,NA,80,0,0,14051,5,2018
red_pine,yes,no,921,rm,NA,30,0,20,14004,7.25,2018
red_pine,no,no,930,ro,NA,40,0,0,14052,7.5,2018
red_pine,yes,no,922,rm,NA,30,0,0,14026,8.25,2018
red_pine,yes,no,923,rm,NA,45,0,5,14029,8.5,2018
red_pine,yes,no,936,co,NA,15,0,0,14126,4.75,2018
red_pine,no,no,935,co,NA,20,0,50,14111,6.75,2018
red_pine,yes,no,920,ro,NA,60,0,5,12145,4,2018
red_pine,yes,no,936,co,NA,15,0,0,14125,3.75,2018
boot,yes,no,903,sb,NA,50,0,5,12026,10.5,2018
boot,yes,no,911,rm,NA,25,0,30,12084,6.75,2018
boot,yes,no,910,rm,NA,30,0,30,12075,9.5,2018
boot,yes,no,910,rm,NA,30,0,30,12081,6.25,2018
red_pine,yes,no,936,co,NA,15,0,0,14123,6,2018
red_pine,no,no,935,co,NA,20,0,50,14116,8.5,2018
red_pine,no,no,925,ro,NA,65,0,0,14041,6,2018
